postcode,SA2,2021,Area Name,2026
3134,211021262.0,10183.0,Warrandyte - Wonga Park,"10,805"
3134,211031265.0,18235.0,Croydon Hills - Warranwood,"19,403"
3135,211031267.0,21351.0,Ringwood East,"23,128"
3135,211031267.0,21351.0,Ringwood East,"23,128"
3135,211031267.0,21351.0,Ringwood East,"23,128"
3136,211031451.0,14247.0,Croydon - West,"15,982"
3136,211031265.0,18235.0,Croydon Hills - Warranwood,"19,403"
3136,211031265.0,18235.0,Croydon Hills - Warranwood,"19,403"
3136,211031452.0,4936.0,Croydon South,"5,042"
3137,211051277.0,9980.0,Kilsyth,"10,675"
3137,211031263.0,11968.0,Bayswater North,"13,181"
3138,211051281.0,23447.0,Mooroolbark,"25,460"
3139,211051286.0,16948.0,Yarra Valley,"17,041"
3139,211051286.0,16948.0,Yarra Valley,"17,041"
3139,211051286.0,16948.0,Yarra Valley,"17,041"
3139,211051286.0,16948.0,Yarra Valley,"17,041"
3139,211051285.0,7959.0,Wandin - Seville,"8,334"
3139,211051285.0,7959.0,Wandin - Seville,"8,334"
3139,211051285.0,7959.0,Wandin - Seville,"8,334"
3139,211051285.0,7959.0,Wandin - Seville,"8,334"
3139,211051286.0,16948.0,Yarra Valley,"17,041"
3139,211051286.0,16948.0,Yarra Valley,"17,041"
3140,211051278.0,19783.0,Lilydale - Coldstream,"23,072"
3141,206061137.0,21581.0,South Yarra - East,"29,260"
3141,206041125.0,6542.0,South Yarra - West,"7,541"
3141,206061137.0,21581.0,South Yarra - East,"29,260"
3142,206061137.0,21581.0,South Yarra - East,"29,260"
3142,206061138.0,13098.0,Toorak,"14,623"
3143,206061135.0,9436.0,Armadale,"11,681"
3143,206061135.0,9436.0,Armadale,"11,681"
3144,208041194.0,20482.0,Malvern - Glen Iris,"23,619"
3144,208041194.0,20482.0,Malvern - Glen Iris,"23,619"
3144,208041194.0,20482.0,Malvern - Glen Iris,"23,619"
3145,208021177.0,22739.0,Caulfield - North,"25,734"
3145,208041195.0,22221.0,Malvern East,"26,025"
3145,208041195.0,22221.0,Malvern East,"26,025"
3145,208041195.0,22221.0,Malvern East,"26,025"
3145,208041195.0,22221.0,Malvern East,"26,025"
3145,208041194.0,20482.0,Malvern - Glen Iris,"23,619"
3146,208041194.0,20482.0,Malvern - Glen Iris,"23,619"
3147,207011146.0,8025.0,Ashburton (Vic.),"8,687"
3147,212051319.0,19790.0,Ashwood - Chadstone,"22,832"
3148,212051319.0,19790.0,Ashwood - Chadstone,"22,832"
3148,208041195.0,22221.0,Malvern East,"26,025"
3148,212051319.0,19790.0,Ashwood - Chadstone,"22,832"
3148,212051323.0,16241.0,Mount Waverley - North,"17,419"
3149,212051324.0,19475.0,Mount Waverley - South,"21,936"
3149,212051324.0,19475.0,Mount Waverley - South,"21,936"
3149,212051322.0,21324.0,Glen Waverley - West,"23,718"
3150,212051327.0,20854.0,Wheelers Hill,"21,851"
3150,212051321.0,21899.0,Glen Waverley - East,"23,211"
3150,212051327.0,20854.0,Wheelers Hill,"21,851"
3151,207031166.0,10778.0,Burwood East,"13,468"
3151,207031166.0,10778.0,Burwood East,"13,468"
3152,211011260.0,18102.0,Wantirna South,"20,423"
3152,211011260.0,18102.0,Wantirna South,"20,423"
3152,211011259.0,14450.0,Wantirna,"15,621"
3152,211011260.0,18102.0,Wantirna South,"20,423"
3153,211011251.0,12707.0,Bayswater,"14,547"
3153,211031263.0,11968.0,Bayswater North,"13,181"
3154,211011449.0,4380.0,The Basin,"4,631"
3155,211011446.0,23831.0,Boronia,"25,580"
3156,211011447.0,14249.0,Ferntree Gully (North),"15,607"
3156,211011255.0,6656.0,Lysterfield,"7,257"
3156,212021453.0,12191.0,Endeavour Hills - North,"12,584"
3156,211011448.0,15448.0,Ferntree Gully (South) - Upper Ferntree Gully,"15,578"
3156,211011448.0,15448.0,Ferntree Gully (South) - Upper Ferntree Gully,"15,578"
3158,211051284.0,9848.0,Upwey - Tecoma,"10,038"
3159,211051274.0,10095.0,Belgrave - Selby,"10,448"
3159,211051274.0,10095.0,Belgrave - Selby,"10,448"
3160,211051274.0,10095.0,Belgrave - Selby,"10,448"
3160,211051274.0,10095.0,Belgrave - Selby,"10,448"
3160,211051274.0,10095.0,Belgrave - Selby,"10,448"
3160,211051284.0,9848.0,Upwey - Tecoma,"10,038"
3161,208021177.0,22739.0,Caulfield - North,"25,734"
3161,208021177.0,22739.0,Caulfield - North,"25,734"
3162,208021178.0,18232.0,Caulfield - South,"19,714"
3162,208021178.0,18232.0,Caulfield - South,"19,714"
3162,208021179.0,12032.0,Elsternwick,"13,705"
3163,208021178.0,18232.0,Caulfield - South,"19,714"
3163,208021176.0,18803.0,Carnegie,"22,840"
3163,208021182.0,13298.0,Ormond - Glen Huntly,"15,612"
3163,208021181.0,9471.0,Murrumbeena,"10,725"
3164,212041311.0,31330.0,Dandenong,"40,750"
3165,208021426.0,16756.0,Bentleigh East (North),"19,042"
3165,208021426.0,16756.0,Bentleigh East (North),"19,042"
3166,208021180.0,7644.0,Hughesdale,"9,225"
3166,212051326.0,23254.0,Oakleigh - Huntingdale,"27,155"
3166,212051326.0,23254.0,Oakleigh - Huntingdale,"27,155"
3166,212051326.0,23254.0,Oakleigh - Huntingdale,"27,155"
3167,212051326.0,23254.0,Oakleigh - Huntingdale,"27,155"
3168,212051320.0,22492.0,Clayton,"31,229"
3168,212051320.0,22492.0,Clayton,"31,229"
3169,212041309.0,11656.0,Clarinda - Oakleigh South,"12,601"
3169,212041310.0,13570.0,Clayton South,"16,445"
3170,212051325.0,20078.0,Mulgrave,"22,654"
3170,212051325.0,20078.0,Mulgrave,"22,654"
3171,212041317.0,22537.0,Springvale,"27,499"
3171,212041317.0,22537.0,Springvale,"27,499"
3172,212041313.0,10554.0,Dingley Village,"11,051"
3172,212041318.0,12738.0,Springvale South,"14,168"
3173,212041314.0,30488.0,Keysborough,"36,093"
3174,212041460.0,19818.0,Noble Park - West,"22,214"
3174,212041460.0,19818.0,Noble Park - West,"22,214"
3174,212041459.0,12901.0,Noble Park - East,"15,603"
3175,212041314.0,30488.0,Keysborough,"36,093"
3175,212041311.0,31330.0,Dandenong,"40,750"
3175,212041311.0,31330.0,Dandenong,"40,750"
3175,212041312.0,22839.0,Dandenong North,"24,732"
3175,212041311.0,31330.0,Dandenong,"40,750"
3175,212041312.0,22839.0,Dandenong North,"24,732"
3176,211011254.0,16733.0,Knoxfield - Scoresby,"19,306"
3177,212021295.0,12061.0,Doveton,"13,613"
3177,212021295.0,12061.0,Doveton,"13,613"
3178,211011256.0,15540.0,Rowville - Central,"16,317"
3179,211011254.0,16733.0,Knoxfield - Scoresby,"19,306"
3180,211011254.0,16733.0,Knoxfield - Scoresby,"19,306"
3181,206061136.0,19460.0,Prahran - Windsor,"24,164"
3181,206061136.0,19460.0,Prahran - Windsor,"24,164"
3181,206061136.0,19460.0,Prahran - Windsor,"24,164"
3182,206051133.0,26204.0,St Kilda,"33,210"
3182,206051133.0,26204.0,St Kilda,"33,210"
3182,206051133.0,26204.0,St Kilda,"33,210"
3183,206051134.0,16085.0,St Kilda East,"18,967"
3183,206051134.0,16085.0,St Kilda East,"18,967"
3184,206051129.0,15041.0,Elwood,"17,497"
3184,206051129.0,15041.0,Elwood,"17,497"
3185,208021179.0,12032.0,Elsternwick,"13,705"
3185,208021179.0,12032.0,Elsternwick,"13,705"
3185,206051134.0,16085.0,St Kilda East,"18,967"
3186,208011169.0,23053.0,Brighton (Vic.),"26,367"
3186,208011169.0,23053.0,Brighton (Vic.),"26,367"
3186,208011169.0,23053.0,Brighton (Vic.),"26,367"
3186,208011169.0,23053.0,Brighton (Vic.),"26,367"
3187,208011170.0,16695.0,Brighton East,"17,713"
3187,208021178.0,18232.0,Caulfield - South,"19,714"
3188,208011172.0,18406.0,Hampton,"20,563"
3188,208011172.0,18406.0,Hampton,"20,563"
3188,208011172.0,18406.0,Hampton,"20,563"
3189,208031191.0,9198.0,Moorabbin - Heatherton,"11,063"
3189,208031191.0,9198.0,Moorabbin - Heatherton,"11,063"
