DATAFLOW,SEXP: Sex,INCP: Total personal income (weekly),AGEP: Age,REGION: Region,REGION_TYPE: Region Type,STATE: State,TIME_PERIOD: Time Period,OBS_VALUE
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,203021042: Highton,SA2: Statistical Area Level 2,2: Victoria,2021,9516
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,213011332: Keilor Downs,SA2: Statistical Area Level 2,2: Victoria,2021,5363
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,210051243: Campbellfield - Coolaroo,SA2: Statistical Area Level 2,2: Victoria,2021,6411
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,215011392: Stawell,SA2: Statistical Area Level 2,2: Victoria,2021,7203
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,214011375: Seaford (Vic.),SA2: Statistical Area Level 2,2: Victoria,2021,6854
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,212041313: Dingley Village,SA2: Statistical Area Level 2,2: Victoria,2021,4215
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,215011388: Horsham,SA2: Statistical Area Level 2,2: Victoria,2021,6594
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,206061515: South Yarra - North,SA2: Statistical Area Level 2,2: Victoria,2021,5100
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,210041540: Sunbury - South,SA2: Statistical Area Level 2,2: Victoria,2021,6483
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,212041459: Noble Park - East,SA2: Statistical Area Level 2,2: Victoria,2021,10664
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,203031053: Torquay,SA2: Statistical Area Level 2,2: Victoria,2021,9940
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,207011154: Kew East,SA2: Statistical Area Level 2,2: Victoria,2021,2756
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,213051468: Werribee - West,SA2: Statistical Area Level 2,2: Victoria,2021,8769
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,210051248: Melbourne Airport,SA2: Statistical Area Level 2,2: Victoria,2021,112
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,209011201: Ivanhoe East - Eaglemont,SA2: Statistical Area Level 2,2: Victoria,2021,3368
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,208031193: Mordialloc - Parkdale,SA2: Statistical Area Level 2,2: Victoria,2021,17352
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,203031490: Ocean Grove,SA2: Statistical Area Level 2,2: Victoria,2021,15572
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,203021485: Charlemont,SA2: Statistical Area Level 2,2: Victoria,2021,3784
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,213051586: Truganina - North,SA2: Statistical Area Level 2,2: Victoria,2021,6993
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,211011447: Ferntree Gully - North,SA2: Statistical Area Level 2,2: Victoria,2021,6086
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,206041117: Carlton,SA2: Statistical Area Level 2,2: Victoria,2021,7714
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,205041098: Yallourn North - Glengarry,SA2: Statistical Area Level 2,2: Victoria,2021,1905
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,212021299: Narre Warren North,SA2: Statistical Area Level 2,2: Victoria,2021,3418
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,208031189: Edithvale - Aspendale,SA2: Statistical Area Level 2,2: Victoria,2021,5174
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,205051099: Alps - West,SA2: Statistical Area Level 2,2: Victoria,2021,14
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,214021378: Flinders,SA2: Statistical Area Level 2,2: Victoria,2021,5236
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,210011227: Essendon Airport,SA2: Statistical Area Level 2,2: Victoria,2021,6
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,207011521: Kew - South,SA2: Statistical Area Level 2,2: Victoria,2021,4671
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,206031116: Moonee Ponds,SA2: Statistical Area Level 2,2: Victoria,2021,7290
